population,image_index,image_id,class_index,snr_db,seed,family,mode,arm,header_accepted,body_crc_accepted,header_false_acceptance,header_fields_correct,payload_bits_correct,source_complete,source_correct,accepted_correct,source_bit_error_rate,candidate_prefix_scales,receiver_label,arithmetic_padding_reads,source_error,image_index_in_archive,prefix_sha256,source_pixels_sha256,received_sha256,transmitted_sha256,raw_payload_bits,actual_payload_bits,attempted_arithmetic_bits,arithmetic_length_field,raw_fallback,header_uses,data_uses,complex_uses,total_energy,header_payload_bits,header_crc_bits,header_tail_bits,header_coded_bits,data_crc_bits,data_tail_bits,data_mother_coded_bits,data_coded_bits,data_information_rate,psnr_db,lpips,dino
development,0,n01440764/ILSVRC2012_val_00003014_n01440764,0,1.0,2002,arithmetic,8,arithmetic_m8,1,0,0,1,0,1,0,0,0.41601307189542486,8,0,75,,7,34e891ee9b2aa5af46e67c8ac975c6311c00c243ab0d365cd9ac1ba8a1289883,ba4269f89fdfc1ec6596d3da2afb4e19a03b1eca4a1722e30eed3d2a2bd8f7ec,8eb7d69d25514a3e59414c118c47c47090e2a18ff9e62979191e42510b71d6c5,532b78340e66b4b583792554507acab76b37ef973d3c4c32f035ed61239d776c,3060,2612,2612,2612,False,94,2966,3060,6120.0,25,16,6,188,16,6,5268,5932,0.4440323668240054,9.329286575317383,0.44192051887512207,0.49057814478874207
development,0,n01440764/ILSVRC2012_val_00003014_n01440764,0,1.0,2002,arithmetic,9,arithmetic_m9,1,0,0,1,0,1,0,0,0.5011792452830188,9,0,152,,8,e8bc7176b49bb066bec26440c9beb0a8e0dd28c3252d1bbba0e8199c90bb87a9,ba4269f89fdfc1ec6596d3da2afb4e19a03b1eca4a1722e30eed3d2a2bd8f7ec,a6e2de791b743ab13598bcc83f49339afd67c249130c4fe5977fb0ffe912cf76,4f0f8a361f855e77ea0322caa6d8e4e2512616f3a25b83f7d58df75b4b988564,5088,4214,4214,4214,False,94,2966,3060,6120.0,25,16,6,188,16,6,8472,5932,0.7140930546190155,9.5537109375,0.6440588235855103,0.3550989329814911
development,0,n01440764/ILSVRC2012_val_00003014_n01440764,0,1.0,2003,raw,7,raw_m7,1,1,0,1,1,1,1,1,0.0,7,0,0,,0,29f07a3b027d61c90445b82e0cad527ed6e44a1d240e62832a168eae8b29a2cc,ba4269f89fdfc1ec6596d3da2afb4e19a03b1eca4a1722e30eed3d2a2bd8f7ec,0bb2d2ef4eab0183d44f54e55716899b2168afc3f1021f0848d2a4f046bf3209,644c838ce10ae92bb9ba6a8a2098d6486841d84de173ab59e28ce53f866f2c4a,1860,1860,,,False,68,2992,3060,6120.0,12,16,6,136,16,6,3764,5984,0.3145053475935829,12.33504867553711,0.2813071608543396,0.6454499363899231
development,0,n01440764/ILSVRC2012_val_00003014_n01440764,0,1.0,2003,raw,8,raw_m8,1,0,0,1,0,1,0,0,0.06666666666666667,8,0,0,,9,eed63573de421dc4e73b609658bec93e9f6b1ae235826f92e1af4cfd306fd1c7,ba4269f89fdfc1ec6596d3da2afb4e19a03b1eca4a1722e30eed3d2a2bd8f7ec,5360b2b2f23f2178e32a4d43dc4d12c327bc3a434d996a5947671a02a19bcad2,999b18434b568ac0d584796ab26ec33f851d8991c2058868c7b600e566b5851d,3060,3060,,,False,68,2992,3060,6120.0,12,16,6,136,16,6,6164,5984,0.5150401069518716,12.11353874206543,0.3147737383842468,0.544249415397644
development,0,n01440764/ILSVRC2012_val_00003014_n01440764,0,1.0,2003,raw,9,raw_m9,1,0,0,1,0,1,0,0,0.5021619496855346,9,0,0,,10,d6e3cb5f48a734a62dad314bbb09b350c33faf3659a252ba3983d4cbf3a6c4f1,ba4269f89fdfc1ec6596d3da2afb4e19a03b1eca4a1722e30eed3d2a2bd8f7ec,24ca36f568368131f6ee12fa140ec4b7e46e966b12f15eff30a5ffd7ae8eae34,768e963ef9526a9de2ab3151a432a9479f18b81a1a79c2485d04493d09313445,5088,5088,,,False,68,2992,3060,6120.0,12,16,6,136,16,6,10220,5984,0.8539438502673797,7.604879379272461,0.7011181116104126,0.08317368477582932
development,0,n01440764/ILSVRC2012_val_00003014_n01440764,0,1.0,2003,arithmetic,7,arithmetic_m7,1,1,0,1,1,1,1,1,0.0,7,0,30,,0,29f07a3b027d61c90445b82e0cad527ed6e44a1d240e62832a168eae8b29a2cc,ba4269f89fdfc1ec6596d3da2afb4e19a03b1eca4a1722e30eed3d2a2bd8f7ec,c192b6a92069a97423e4421ba9f6fadbcddc9f7aa5d8401d766cf2a41c176590,c4ca1ea9b34489f56fb53782cd837e1bdd8ad0e24a96f5b9e5dd7068a6d6a498,1860,1562,1562,1562,False,94,2966,3060,6120.0,25,16,6,188,16,6,3168,5932,0.2670262980445044,12.33504867553711,0.2813071608543396,0.6454499363899231
development,0,n01440764/ILSVRC2012_val_00003014_n01440764,0,1.0,2003,arithmetic,8,arithmetic_m8,1,0,0,1,0,1,0,0,0.1931372549019608,8,0,0,,11,ea95af1e421b33db9efc52166f93b63c8f9f615e5e0d2dca8ef5b7512ccaa178,ba4269f89fdfc1ec6596d3da2afb4e19a03b1eca4a1722e30eed3d2a2bd8f7ec,05f1203d8842efac55a051c3f9370b77549bc4dae85d2e358957cc57f18f436a,532b78340e66b4b583792554507acab76b37ef973d3c4c32f035ed61239d776c,3060,2612,2612,2612,False,94,2966,3060,6120.0,25,16,6,188,16,6,5268,5932,0.4440323668240054,11.964086532592773,0.2913314402103424,0.6833710670471191
development,0,n01440764/ILSVRC2012_val_00003014_n01440764,0,1.0,2003,arithmetic,9,arithmetic_m9,1,0,0,1,0,1,0,0,0.4876179245283019,9,0,147,,12,7188491e5be620d8489e8dff94f99f02b1fc325d4ccc8d060a6478c104b06e66,ba4269f89fdfc1ec6596d3da2afb4e19a03b1eca4a1722e30eed3d2a2bd8f7ec,fc0851a1c44199e00623e61ccf519eed85148662152903a6ebd1f81701ebc91f,4f0f8a361f855e77ea0322caa6d8e4e2512616f3a25b83f7d58df75b4b988564,5088,4214,4214,4214,False,94,2966,3060,6120.0,25,16,6,188,16,6,8472,5932,0.7140930546190155,8.396004676818848,0.7603986263275146,0.18762212991714478
development,0,n01440764/ILSVRC2012_val_00003014_n01440764,0,4.0,2001,raw,7,raw_m7,1,1,0,1,1,1,1,1,0.0,7,0,0,,0,29f07a3b027d61c90445b82e0cad527ed6e44a1d240e62832a168eae8b29a2cc,ba4269f89fdfc1ec6596d3da2afb4e19a03b1eca4a1722e30eed3d2a2bd8f7ec,2953ef27c729eaf14ab30e5c292204d080440144ef69c9f4fce723a48498fc2e,644c838ce10ae92bb9ba6a8a2098d6486841d84de173ab59e28ce53f866f2c4a,1860,1860,,,False,68,2992,3060,6120.0,12,16,6,136,16,6,3764,5984,0.3145053475935829,12.33504867553711,0.2813071608543396,0.6454499363899231
development,0,n01440764/ILSVRC2012_val_00003014_n01440764,0,4.0,2001,raw,8,raw_m8,1,1,0,1,1,1,1,1,0.0,8,0,0,,13,37219a7bfb84f4eb7f7c4522b319aa4155704b697855b809e02944f72317a096,ba4269f89fdfc1ec6596d3da2afb4e19a03b1eca4a1722e30eed3d2a2bd8f7ec,ca5ef5001612dea6242df198cba01ff425ed2b659839c4e47228baf73c903ac4,999b18434b568ac0d584796ab26ec33f851d8991c2058868c7b600e566b5851d,3060,3060,,,False,68,2992,3060,6120.0,12,16,6,136,16,6,6164,5984,0.5150401069518716,13.516948699951172,0.20085062086582184,0.7360662221908569
development,0,n01440764/ILSVRC2012_val_00003014_n01440764,0,4.0,2001,raw,9,raw_m9,1,0,0,1,0,1,0,0,0.26336477987421386,9,0,0,,14,184da7af6eb7d89bf3507ef677ba9f7606669e3ad45279f787e087b51cae2d6a,ba4269f89fdfc1ec6596d3da2afb4e19a03b1eca4a1722e30eed3d2a2bd8f7ec,c030837a8384702329d3495efa41253223c2f3a0738b0c11a586e7a24ce780d7,768e963ef9526a9de2ab3151a432a9479f18b81a1a79c2485d04493d09313445,5088,5088,,,False,68,2992,3060,6120.0,12,16,6,136,16,6,10220,5984,0.8539438502673797,9.299922943115234,0.539050817489624,0.2075052410364151
development,0,n01440764/ILSVRC2012_val_00003014_n01440764,0,4.0,2001,arithmetic,7,arithmetic_m7,1,1,0,1,1,1,1,1,0.0,7,0,30,,0,29f07a3b027d61c90445b82e0cad527ed6e44a1d240e62832a168eae8b29a2cc,ba4269f89fdfc1ec6596d3da2afb4e19a03b1eca4a1722e30eed3d2a2bd8f7ec,0d813d09f54186b0b2380a5efdc31737aecec176d65ef65fab601c9ee9f15af6,c4ca1ea9b34489f56fb53782cd837e1bdd8ad0e24a96f5b9e5dd7068a6d6a498,1860,1562,1562,1562,False,94,2966,3060,6120.0,25,16,6,188,16,6,3168,5932,0.2670262980445044,12.33504867553711,0.2813071608543396,0.6454499363899231
development,0,n01440764/ILSVRC2012_val_00003014_n01440764,0,4.0,2001,arithmetic,8,arithmetic_m8,1,1,0,1,1,1,1,1,0.0,8,0,30,,13,37219a7bfb84f4eb7f7c4522b319aa4155704b697855b809e02944f72317a096,ba4269f89fdfc1ec6596d3da2afb4e19a03b1eca4a1722e30eed3d2a2bd8f7ec,b372ec3c8d730b33c44de8c14aebd30156479f12174a07c88c786a8eb07694ce,532b78340e66b4b583792554507acab76b37ef973d3c4c32f035ed61239d776c,3060,2612,2612,2612,False,94,2966,3060,6120.0,25,16,6,188,16,6,5268,5932,0.4440323668240054,13.516948699951172,0.20085062086582184,0.7360662221908569
development,0,n01440764/ILSVRC2012_val_00003014_n01440764,0,4.0,2001,arithmetic,9,arithmetic_m9,1,0,0,1,0,1,0,0,0.4803459119496855,9,0,110,,15,ff45aa34fa10c4c1ba4b46b75f52dd7dc8e577d052369f41066a7f8a6f289f82,ba4269f89fdfc1ec6596d3da2afb4e19a03b1eca4a1722e30eed3d2a2bd8f7ec,35e55c1654784cac7c3fdebcc3b978ee6fde13ed135eeab7a412b5738e6cb912,4f0f8a361f855e77ea0322caa6d8e4e2512616f3a25b83f7d58df75b4b988564,5088,4214,4214,4214,False,94,2966,3060,6120.0,25,16,6,188,16,6,8472,5932,0.7140930546190155,8.430973052978516,0.5371561050415039,0.5740674734115601
development,0,n01440764/ILSVRC2012_val_00003014_n01440764,0,4.0,2002,raw,7,raw_m7,1,1,0,1,1,1,1,1,0.0,7,0,0,,0,29f07a3b027d61c90445b82e0cad527ed6e44a1d240e62832a168eae8b29a2cc,ba4269f89fdfc1ec6596d3da2afb4e19a03b1eca4a1722e30eed3d2a2bd8f7ec,2923e7735556337cb318b0c2e78b8d03df01f218078a7c41369ea5661150ba2f,644c838ce10ae92bb9ba6a8a2098d6486841d84de173ab59e28ce53f866f2c4a,1860,1860,,,False,68,2992,3060,6120.0,12,16,6,136,16,6,3764,5984,0.3145053475935829,12.33504867553711,0.2813071608543396,0.6454499363899231
development,0,n01440764/ILSVRC2012_val_00003014_n01440764,0,4.0,2002,raw,8,raw_m8,1,1,0,1,1,1,1,1,0.0,8,0,0,,13,37219a7bfb84f4eb7f7c4522b319aa4155704b697855b809e02944f72317a096,ba4269f89fdfc1ec6596d3da2afb4e19a03b1eca4a1722e30eed3d2a2bd8f7ec,e3dc0c343a4e65e160ee016f9972eeff620fb9efb04165247829b6b8c7ce5c37,999b18434b568ac0d584796ab26ec33f851d8991c2058868c7b600e566b5851d,3060,3060,,,False,68,2992,3060,6120.0,12,16,6,136,16,6,6164,5984,0.5150401069518716,13.516948699951172,0.20085062086582184,0.7360662221908569
development,0,n01440764/ILSVRC2012_val_00003014_n01440764,0,4.0,2002,raw,9,raw_m9,1,0,0,1,0,1,0,0,0.2720125786163522,9,0,0,,16,fa8fbeb5746dad215d2e9f39baf58691431329fec494a55e3b3386b37241eb22,ba4269f89fdfc1ec6596d3da2afb4e19a03b1eca4a1722e30eed3d2a2bd8f7ec,73e12778cc1df3606af1adc4aa75418d3fa26bba088980c443863c6c0e2d2a9d,768e963ef9526a9de2ab3151a432a9479f18b81a1a79c2485d04493d09313445,5088,5088,,,False,68,2992,3060,6120.0,12,16,6,136,16,6,10220,5984,0.8539438502673797,8.412723541259766,0.5924127101898193,0.1695224791765213
development,0,n01440764/ILSVRC2012_val_00003014_n01440764,0,4.0,2002,arithmetic,7,arithmetic_m7,1,1,0,1,1,1,1,1,0.0,7,0,30,,0,29f07a3b027d61c90445b82e0cad527ed6e44a1d240e62832a168eae8b29a2cc,ba4269f89fdfc1ec6596d3da2afb4e19a03b1eca4a1722e30eed3d2a2bd8f7ec,b63c8ccd3f70f37fc39fe44723c8be8f635354f14ae91858aecb169c52444a57,c4ca1ea9b34489f56fb53782cd837e1bdd8ad0e24a96f5b9e5dd7068a6d6a498,1860,1562,1562,1562,False,94,2966,3060,6120.0,25,16,6,188,16,6,3168,5932,0.2670262980445044,12.33504867553711,0.2813071608543396,0.6454499363899231
development,0,n01440764/ILSVRC2012_val_00003014_n01440764,0,4.0,2002,arithmetic,8,arithmetic_m8,1,1,0,1,1,1,1,1,0.0,8,0,30,,13,37219a7bfb84f4eb7f7c4522b319aa4155704b697855b809e02944f72317a096,ba4269f89fdfc1ec6596d3da2afb4e19a03b1eca4a1722e30eed3d2a2bd8f7ec,e76ef241d17227a95b1bac920384fe39a6be1d6509c88e21da72d5a262897cd0,532b78340e66b4b583792554507acab76b37ef973d3c4c32f035ed61239d776c,3060,2612,2612,2612,False,94,2966,3060,6120.0,25,16,6,188,16,6,5268,5932,0.4440323668240054,13.516948699951172,0.20085062086582184,0.7360662221908569
development,0,n01440764/ILSVRC2012_val_00003014_n01440764,0,4.0,2002,arithmetic,9,arithmetic_m9,1,0,0,1,0,1,0,0,0.45086477987421386,9,0,85,,17,1add153488be45154256cf7d55f4820d27db699d258178237c9936f32d8a209c,ba4269f89fdfc1ec6596d3da2afb4e19a03b1eca4a1722e30eed3d2a2bd8f7ec,b4602312f105eb3a38e4c750ee530ff5e9f71bfea99c71aa575bbb4a89648bf4,4f0f8a361f855e77ea0322caa6d8e4e2512616f3a25b83f7d58df75b4b988564,5088,4214,4214,4214,False,94,2966,3060,6120.0,25,16,6,188,16,6,8472,5932,0.7140930546190155,9.878986358642578,0.47723647952079773,0.4231894910335541
development,0,n01440764/ILSVRC2012_val_00003014_n01440764,0,4.0,2003,raw,7,raw_m7,1,1,0,1,1,1,1,1,0.0,7,0,0,,0,29f07a3b027d61c90445b82e0cad527ed6e44a1d240e62832a168eae8b29a2cc,ba4269f89fdfc1ec6596d3da2afb4e19a03b1eca4a1722e30eed3d2a2bd8f7ec,696e294eb44a20ce2260a8f559f0b879a271d4b7c07adfebc4042eda88726ba0,644c838ce10ae92bb9ba6a8a2098d6486841d84de173ab59e28ce53f866f2c4a,1860,1860,,,False,68,2992,3060,6120.0,12,16,6,136,16,6,3764,5984,0.3145053475935829,12.33504867553711,0.2813071608543396,0.6454499363899231
development,0,n01440764/ILSVRC2012_val_00003014_n01440764,0,4.0,2003,raw,8,raw_m8,1,1,0,1,1,1,1,1,0.0,8,0,0,,13,37219a7bfb84f4eb7f7c4522b319aa4155704b697855b809e02944f72317a096,ba4269f89fdfc1ec6596d3da2afb4e19a03b1eca4a1722e30eed3d2a2bd8f7ec,55c0ea29208226d2f07f2f44a14385d1ced703b73ab9d5654249d1d2d44b6d01,999b18434b568ac0d584796ab26ec33f851d8991c2058868c7b600e566b5851d,3060,3060,,,False,68,2992,3060,6120.0,12,16,6,136,16,6,6164,5984,0.5150401069518716,13.516948699951172,0.20085062086582184,0.7360662221908569
development,0,n01440764/ILSVRC2012_val_00003014_n01440764,0,4.0,2003,raw,9,raw_m9,1,0,0,1,0,1,0,0,0.34650157232704404,9,0,0,,18,cac99263bba687cb1d08610013262914401c292a61ecb6595be9bb54ebdbc87a,ba4269f89fdfc1ec6596d3da2afb4e19a03b1eca4a1722e30eed3d2a2bd8f7ec,68cc44cf2ad71fb75f64bc4ec8293e24943380e0f0ada1c6b1b4ffdd3363a9da,768e963ef9526a9de2ab3151a432a9479f18b81a1a79c2485d04493d09313445,5088,5088,,,False,68,2992,3060,6120.0,12,16,6,136,16,6,10220,5984,0.8539438502673797,9.157876968383789,0.5794299840927124,0.1451484113931656
development,0,n01440764/ILSVRC2012_val_00003014_n01440764,0,4.0,2003,arithmetic,7,arithmetic_m7,1,1,0,1,1,1,1,1,0.0,7,0,30,,0,29f07a3b027d61c90445b82e0cad527ed6e44a1d240e62832a168eae8b29a2cc,ba4269f89fdfc1ec6596d3da2afb4e19a03b1eca4a1722e30eed3d2a2bd8f7ec,58ce4fddf8bcbe45936b2a5c480caf0e2820725d46596258626f2be2eaeff0d2,c4ca1ea9b34489f56fb53782cd837e1bdd8ad0e24a96f5b9e5dd7068a6d6a498,1860,1562,1562,1562,False,94,2966,3060,6120.0,25,16,6,188,16,6,3168,5932,0.2670262980445044,12.33504867553711,0.2813071608543396,0.6454499363899231
development,0,n01440764/ILSVRC2012_val_00003014_n01440764,0,4.0,2003,arithmetic,8,arithmetic_m8,1,1,0,1,1,1,1,1,0.0,8,0,30,,13,37219a7bfb84f4eb7f7c4522b319aa4155704b697855b809e02944f72317a096,ba4269f89fdfc1ec6596d3da2afb4e19a03b1eca4a1722e30eed3d2a2bd8f7ec,5dc79d496e42bbe1b74cb2cb645bb6af49e55380c635f2d60e7a02baa656698b,532b78340e66b4b583792554507acab76b37ef973d3c4c32f035ed61239d776c,3060,2612,2612,2612,False,94,2966,3060,6120.0,25,16,6,188,16,6,5268,5932,0.4440323668240054,13.516948699951172,0.20085062086582184,0.7360662221908569
development,0,n01440764/ILSVRC2012_val_00003014_n01440764,0,4.0,2003,arithmetic,9,arithmetic_m9,1,0,0,1,0,1,0,0,0.43042452830188677,9,0,107,,19,f80a022da5fc3f11889f2e3194e0a81ba7ebc155b6fa08c55567dfbadb77a10e,ba4269f89fdfc1ec6596d3da2afb4e19a03b1eca4a1722e30eed3d2a2bd8f7ec,ee004905c3654f081e6d918540b69324e94d3362f7ecb68b9a8b02745af63a23,4f0f8a361f855e77ea0322caa6d8e4e2512616f3a25b83f7d58df75b4b988564,5088,4214,4214,4214,False,94,2966,3060,6120.0,25,16,6,188,16,6,8472,5932,0.7140930546190155,10.211353302001953,0.40873590111732483,0.4208301901817322
development,0,n01440764/ILSVRC2012_val_00003014_n01440764,0,5.0,2001,raw,7,raw_m7,1,1,0,1,1,1,1,1,0.0,7,0,0,,0,29f07a3b027d61c90445b82e0cad527ed6e44a1d240e62832a168eae8b29a2cc,ba4269f89fdfc1ec6596d3da2afb4e19a03b1eca4a1722e30eed3d2a2bd8f7ec,40c0f3f3140fd508e9d929d19d2df0ebbe77c718f92d6616261bf7817bda4d7c,644c838ce10ae92bb9ba6a8a2098d6486841d84de173ab59e28ce53f866f2c4a,1860,1860,,,False,68,2992,3060,6120.0,12,16,6,136,16,6,3764,5984,0.3145053475935829,12.33504867553711,0.2813071608543396,0.6454499363899231
development,0,n01440764/ILSVRC2012_val_00003014_n01440764,0,5.0,2001,raw,8,raw_m8,1,1,0,1,1,1,1,1,0.0,8,0,0,,13,37219a7bfb84f4eb7f7c4522b319aa4155704b697855b809e02944f72317a096,ba4269f89fdfc1ec6596d3da2afb4e19a03b1eca4a1722e30eed3d2a2bd8f7ec,492c5dfc76dd2b83639a66408012199a3a3cd6670f054fbb658a50f280973a1b,999b18434b568ac0d584796ab26ec33f851d8991c2058868c7b600e566b5851d,3060,3060,,,False,68,2992,3060,6120.0,12,16,6,136,16,6,6164,5984,0.5150401069518716,13.516948699951172,0.20085062086582184,0.7360662221908569
development,0,n01440764/ILSVRC2012_val_00003014_n01440764,0,5.0,2001,raw,9,raw_m9,1,0,0,1,0,1,0,0,0.09355345911949685,9,0,0,,20,5c27255e3c6047e051fcef22f6cd032eac80f9d9aec7e6908cd7de82b72569f6,ba4269f89fdfc1ec6596d3da2afb4e19a03b1eca4a1722e30eed3d2a2bd8f7ec,5231373a4bd8ad5a7ebcf1f0166a03b6a0fde2bc3ae397d0ad551504ae6b1f38,768e963ef9526a9de2ab3151a432a9479f18b81a1a79c2485d04493d09313445,5088,5088,,,False,68,2992,3060,6120.0,12,16,6,136,16,6,10220,5984,0.8539438502673797,12.413945198059082,0.305301308631897,0.73029625415802
